City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,Cascais,PT,78.62,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
513,Phan Thiet,VN,78.17,broken clouds,10.9333,108.1,Hotel Saigon-PT
514,San Vicente,AR,92.59,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
515,Hobyo,SO,78.51,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
517,Kokopo,PG,76.06,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
519,Clemson,US,81.07,clear sky,34.6834,-82.8374,Courtyard by Marriott Clemson
525,Calama,CL,81.09,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
531,Tual,ID,80.71,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
532,Bengkulu,ID,76.39,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
537,Abrantes,PT,78.69,broken clouds,39.4667,-8.2,Hotel Conforto Latino
542,Pontal Do Parana,BR,93.2,few clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
545,Aracati,BR,92.32,scattered clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
548,Columbus,US,83.1,clear sky,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
550,Praia,CV,93.74,few clouds,14.9215,-23.5087,LT Aparthotel
551,Garowe,SO,90.46,overcast clouds,8.4054,48.4845,Curubo Hotel
552,Khartoum,SD,93.02,broken clouds,15.5518,32.5324,Hotel China
553,Srandakan,ID,76.23,scattered clouds,-7.9386,110.2506,Puri Brata
557,Nkayi,CG,79.18,moderate rain,-4.1841,13.2884,Résidence privée du Maire NKAYI
566,Cordoba,AR,86.59,clear sky,-31.4135,-64.1811,Hotel Sussex
568,Marsh Harbour,BS,80.85,clear sky,26.5412,-77.0636,Abaco Beach Resort
569,Altamira,BR,91.49,broken clouds,-3.2033,-52.2064,Requinte Hotel
570,Impfondo,CG,76.5,broken clouds,1.6381,18.0667,Auberge La Place de Jules
572,Mount Pleasant,US,84.97,clear sky,32.7941,-79.8626,Best Western Patriots Point
574,Benjamin Constant,BR,84.33,broken clouds,-4.3831,-70.0311,CASA AVALIADA
577,Lubango,AO,80.46,few clouds,-14.9172,13.4925,Hotel Serra da Chela
580,Santiago Del Estero,AR,92.66,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
587,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
588,Denton,US,86.31,scattered clouds,33.2001,-97.1336,Hilton Garden Inn Denton
596,Pafos,CY,76.78,few clouds,34.7667,32.4167,Elysium Hotel
600,Bethel,US,78.03,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
603,Ahuimanu,US,76.75,clear sky,21.4447,-157.8378,Paradise Bay Resort
607,Barahona,DO,89.42,scattered clouds,18.2085,-71.1008,Hotel Caribe
609,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Uncle Junior Robert
611,Bhachau,IN,89.06,broken clouds,23.2833,70.35,Amrut Bagh Resort
614,Kirksville,US,81.59,clear sky,40.1948,-92.5833,Budget Host-Village Inn
615,Cocobeach,GA,80.53,overcast clouds,1.0002,9.5823,Hotel Esperance
616,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
617,Ternate,ID,80.53,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
622,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
628,Banda Aceh,ID,79.65,light rain,5.5577,95.3222,Sulthan Hotel International
631,Paragould,US,83.98,clear sky,36.0584,-90.4973,Linwood Motel
633,Menongue,AO,80.19,broken clouds,-14.6585,17.691,Ritz Lauca
635,Benghazi,LY,76.68,few clouds,32.1167,20.0667,Tibesti Hotel
641,Cordele,US,82.92,scattered clouds,31.9635,-83.7824,Ramada by Wyndham Cordele
644,Ampanihy,MG,78.49,clear sky,-24.7,44.75,Angora Hotel
