City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
28,Geraldton,AU,-28.7667,114.6,54.01,94,21,8.05,few clouds
29,Kyren,RU,51.6828,102.1408,32.92,90,100,3.11,overcast clouds
30,Ust-Kuyga,RU,70.0167,135.6,25.68,98,98,0.74,light snow
31,Watsa,CD,3.0372,29.5355,67.39,92,50,3.09,scattered clouds
32,Komsomolskiy,UZ,40.4272,71.7189,66.92,42,0,4.61,clear sky
33,Barrow,US,71.2906,-156.7887,28.15,90,100,15.95,light snow
34,Suluq,LY,31.6682,20.2521,76.87,53,25,14.67,scattered clouds
35,Ribeira Grande,PT,38.5167,-28.7,73.8,64,75,14.97,broken clouds
36,Kodiak,US,57.79,-152.4072,39.88,52,33,3.2,scattered clouds
37,Jamestown,US,42.097,-79.2353,73.29,60,1,5.99,clear sky
38,Puerto Carreno,CO,6.189,-67.4859,88.99,59,33,7.14,scattered clouds
39,Bubaque,GW,11.2833,-15.8333,84.38,71,95,2.46,overcast clouds
40,Dingle,PH,10.9995,122.6711,76.17,90,100,2.1,overcast clouds
41,Shingu,JP,33.7333,135.9833,71.15,88,54,12.1,broken clouds
42,Butaritari,KI,3.0707,172.7902,83.34,76,92,19.24,light rain
43,Hithadhoo,MV,-0.6,73.0833,83.01,74,87,13.35,overcast clouds
44,Plettenberg Bay,ZA,-34.0527,23.3716,59.18,87,84,8.5,light rain
45,Coos Bay,US,43.3665,-124.2179,61.02,97,90,8.05,overcast clouds
46,Yar-Sale,RU,66.8333,70.8333,34.05,81,0,9.06,clear sky
47,Denpasar,ID,-8.65,115.2167,78.46,83,20,9.22,few clouds
48,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,75,10.36,broken clouds
49,Upata,VE,8.0086,-62.3989,88.2,47,3,5.53,clear sky
50,Hermanus,ZA,-34.4187,19.2345,59.9,71,96,6.22,overcast clouds
51,Barra Patuca,HN,15.8,-84.2833,83.75,76,29,7.56,scattered clouds
52,Fuerte Olimpo,PY,-21.0415,-57.8738,106.03,19,0,8.63,clear sky
53,Howard Springs,AU,-12.497,131.047,78.71,94,94,1.21,overcast clouds
54,Te Anau,NZ,-45.4167,167.7167,32.67,83,20,0.85,few clouds
55,Nsanje,MW,-16.92,35.262,87.69,29,58,8.01,broken clouds
56,Monrovia,LR,6.3005,-10.7969,82.17,87,100,15.93,light rain
57,Korla,CN,41.7597,86.1469,68.65,24,0,2.51,clear sky
58,Nouakchott,MR,18.0858,-15.9785,85.93,69,57,9.57,broken clouds
59,Cape Town,ZA,-33.9258,18.4232,63.09,52,75,13.8,broken clouds
60,Dikson,RU,73.5069,80.5464,35.87,86,84,20.24,broken clouds
61,Tasiilaq,GL,65.6145,-37.6368,30.45,64,1,2.26,clear sky
62,Thompson,CA,55.7435,-97.8558,50.16,93,75,2.3,broken clouds
63,Trinidad,BO,-14.8333,-64.9,94.98,46,40,11.5,smoke
64,Port Alfred,ZA,-33.5906,26.891,65.57,91,69,21.41,light rain
65,Umm Lajj,SA,25.0213,37.2685,83.48,67,2,10.47,clear sky
66,Cayenne,GF,4.9333,-52.3333,91.44,73,20,3.0,few clouds
67,Castro,BR,-24.7911,-50.0119,85.12,32,4,5.84,clear sky
68,Dharmabad,IN,18.9,77.85,73.99,94,100,11.05,light rain
69,Mildura,AU,-34.2,142.15,58.96,44,99,9.22,overcast clouds
70,Punta Arenas,CL,-53.15,-70.9167,50.02,57,75,28.77,broken clouds
71,Narsaq,GL,60.9167,-46.05,38.21,33,0,3.85,clear sky
72,Asau,RO,46.4333,26.4,61.72,76,64,1.57,broken clouds
73,Sobolevo,RU,54.4299,31.8996,44.69,90,45,6.93,scattered clouds
74,Port Hedland,AU,-20.3167,118.5667,64.45,88,30,6.91,scattered clouds
75,Taoudenni,ML,22.6783,-3.9836,108.9,5,26,16.91,scattered clouds
76,Atuona,PF,-9.8,-139.0333,77.92,71,55,20.27,light rain
77,Muli,MV,2.9167,73.5667,81.12,81,99,16.69,moderate rain
78,Meulaboh,ID,4.1363,96.1285,76.96,87,97,6.15,overcast clouds
79,Jurado,CO,7.1053,-77.7641,82.36,81,96,5.12,moderate rain
80,Saint-Raphael,HT,19.4333,-72.2,88.39,54,24,2.48,few clouds
81,Muravlenko,RU,63.7898,74.523,33.76,86,6,7.14,clear sky
82,Carnarvon,AU,-24.8667,113.6333,64.47,63,2,13.8,clear sky
83,Bhabua,IN,25.05,83.6167,82.89,78,77,4.45,broken clouds
84,East London,ZA,-33.0153,27.9116,68.94,73,75,18.41,broken clouds
85,Lexington,US,37.9887,-84.4777,77.13,56,4,1.01,clear sky
86,Saint-Joseph,RE,-21.3667,55.6167,70.21,80,28,10.8,scattered clouds
87,New Norfolk,AU,-42.7826,147.0587,46.92,97,50,2.75,scattered clouds
88,Saint-Francois,FR,46.4154,3.9054,67.48,79,75,12.66,broken clouds
89,Santa Maria,BR,-29.6842,-53.8069,74.5,73,0,6.91,clear sky
90,Redditch,GB,52.3065,-1.9457,60.13,63,30,7.0,scattered clouds
91,Cap Malheureux,MU,-19.9842,57.6142,72.46,71,1,10.0,clear sky
92,Cherskiy,RU,68.75,161.3,16.75,96,89,11.92,overcast clouds
